;Excavation Siglum;"Excavation Numbers ""Cleared""";Excavation Numbers UTDB (+-RSTI);Excavation Numbers SAU;KTU3;SAU Biblio (not full!!);Script;Language;SAU Script;SAU Language;SAU Script et Language;SAU genre;RSTI object type;RSTI description;Archive/General area;SAU Archive/General area;Detail in General;SAU Detail in General;SAU findspot;possible relevant (religious) genres;"""Clemens 2001""";Clemens Type;Clemens Note;Seal;Size;Museal Siglum;SAU Museal Siglum;TEO findspot;Topographic Point;SAU p.t.;Depth;SAU Depth;Note
413;RS;['15.008'];['15.008'];15.008;2.16;2.16;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;Le;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;PRAVDA;Letter;benediction, king of Hatti as Sun(?);;53 x 84 x 21;DO 3901;D 3901;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
414;RS;['15.009'];['15.009'];15.009;;P3,195;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;E;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;100 x 69 x 25;DO 3902;D 3902;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
415;RS;['15.010'];['15.010'];15.010;;P3,311;Logosyllabic;"Akkadian; Hurrian";Logosyllabic;Akkadian;s-ak;Lit;Tablet;"Tablet, Logosyllabic Akkadian; Hurrian";Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;wisdom;PRAVDA;Literary;wisdom texts, ethico-religious, incl. explicit ref. to deities;;100 x 57 x 26;Tartous 511;Tart.511;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
416;RS;['15.011'];['15.011'];15.011;;P3,19;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;Le;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;PRAVDA;Letter;oath sworn in a temple;;83 x 68 x 26;DO 3903;D 3903;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
417;RS;['15.012'];['15.012'];15.012;4.135;4.135;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;85 x 53 x 22;DO 3904;D 3904;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
418;RS;['15.013'];['15.013'];15.013;4.136;4.136;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;78 x 54 x 24;DO 3905;D 3905;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
419;RS;['15.014'];['15.014'];15.014;;P3,5;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;LeI;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;68 x 47 x 17;DO 3563;D 3563;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
420;RS;['15.016'];['15.016'];15.016;4.138;4.138;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;54 x 73 x 23;DO 3907;D 3907;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
421;RS;['15.017'];['15.017'];15.017;4.139;4.139;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;54 x 74 x 18;Damas s.n.;;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
422;RS;['15.018'];['15.018'];15.018;;P3.ll;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;LeI;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;61 x 56 x 24;DO 3908;D 3908;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
423;RS;['15.019'];['15.019'];15.019;;P3,13;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;LeI;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;20 x 46 x 21;DO 3909;D 3909;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
424;RS;['15.020'];['15.020'];15.020;;P3,191;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;E;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;86 x 82 x 29;DO 3910;D 3910;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
425;RS;['15.021'];['15.021'];15.021;4.140;4.140;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;57 x 47 x 11;DO 3911;D 3911;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
426;RS;['15.023'];['15.023'];15.023;4.142;4.142;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;57 x 76 x 24;DO 3913;D 3913;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
427;RS;['15.050', '15.024'];['15.024', '15.050'];15.050+15.024;;P3,18;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;LeI;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;PRAVDA;Letter;benediction;;82 x 59 x 27;DO 3914;D 3914;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
428;RS;['15.015', '15.025'];['15.025', '15.015'];15.025+15.015;4.137;4.137;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;69 x 81 x 27;DO 3906;D 3906;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
429;RS;['15.026'];['15.026'];15.026;6.18;6.18;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;tag;Label;Label, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;22 x 24 x 20;DO 3915;D 3915;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
430;RS;['15.027'];['15.027'];15.027;;frg.;;;;;;;Tablet;Tablet;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;;Damas s.n.;;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
431;RS;['15.031'];['15.031'];15.031;4.143;4.143;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;47 x 64 x 20;DO 3917;D 3917;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
432;RS;['15.032'];['15.032'];15.032;4.144;4.144;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;43 x 64 x 23;DO 3918;D 3918;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
433;RS;['15.033'];['15.033'];15.033;;P3,15 f9;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;LeI;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;PRAVDA;Letter;benediction;;82 x 53 x 20;DO 3919;D 3919;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
434;RS;['15.034'];['15.034'];15.034;4.145;4.145;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;63 x 86 x 17;DO 3920;D 3920;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3 (ashes);1,05;;
435;RS;['15.035'];['15.035'];15.035;4.146;4.146;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;57 x 78 x 27;DO 3921;D 3921;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
436;RS;['15.036'];['15.036'];15.036;4.147;4.147;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;74 x 55 x 21;DO 3922;D 3922;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
437;RS;['15.037'];['15.037'];15.037;;P3,35;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;J;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;65 x 53 x 24;DO 3923;D 3923;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
438;RS;['15.038'];['15.038'];16.318=15.038;4.148;4.148;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;67 x 57 x 22;DO 3924;D 3924;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3 (dump);1,05;;
439;RS;['15.039'];['15.039'];15.039;4.149;4.149;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;PRAVDA;administrative;temple administation;;65 x 49 x 21;DO 3925;D 3925;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
440;RS;['15.040'];['15.040'];15.040;4.150;4.150;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;69 x 53 x 19;DO 3926;D 3926;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
441;RS;['15.041'];['15.041'];15.041;;P3,38;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;E;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;75 x 52 x 21;DO 3927;D 3927;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
442;RS;['15.042', '15.110'];['15.042', '15.110'];15.042+15.110;;U3,164*|P3,196;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;E;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;120 x 88 x 30;DO 3928;D 3928;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
443;RS;['15.043'];['15.043'];15.043;;P3,187;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;E;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;56 x 79 x 22;DO 3929;D 3929;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
444;RS;['15.044'];['15.044'];15.044;4.151;4.151;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;67 x 55 x 19;DO 3930;D 3930;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
445;RS;['15.045'];['15.045'];15.045;4.152;4.152;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;61 x 60 x 26;DO 3931;D 3931;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
446;RS;['15.046'];['15.046'];15.046;4.153;4.153;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;61 x 96 x 24;DO 3932;D 3932;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
447;RS;['15.047'];['15.047'];15.047;4.154;4.154;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;77 x 82 x 27;DO 3933;D 3933;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
448;RS;['15.051'];['15.051'];15.051;4.155;4.155;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;50 x 73 x 17;DO 3935;D 3935;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
449;RS;['15.052', '15.022', '15.048', '15.022,15.022'];['15.052', '15.022,15.022', '15.022', '15.048'];15.022+15.048+15.052;4.141;4.141;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;POSSIBLY TRUE;administrative;mentions singers but no other cultic refs.;;121 x 96 x 29;DO 3912 + 3934 + 3936;D 3912|D 3934|D 3936;Palais Royal, room 53 (Archives Est), p.t. 72, 73, ? 0,70;72;72/3;;;
450;RS;['15.053'];['15.053'];15.053;4.156;4.156;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;40 x 77 x 24;DO 3937;D 3937;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
451;RS;['15.054'];['15.054'];15.054;;P3,213;Logosyllabic;Akkadian;Logosyllabic;Akkadian?;s-ak?;Sch;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;43 x 34 x 15;DO 3938;D 3938;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
452;RS;['15.055'];['15.055'];15.055;;;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;J?;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;56 x 52 x 23;Damas s.n.;;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
453;RS;['15.056'];['15.056'];15.056;4.157;4.157;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;28 x 20 x 12;Damas s.n.;;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
454;RS;['15.057'];['15.057'];15.057+15.058+15.059;;frgs.;;;;;;;Tablet;Tablet;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;31 x 25 x 13;Damas s.n.;;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
455;RS;['15.058'];['15.058'];15.057+15.058+15.059;;frgs.;;;;;;;Tablet;Tablet;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;25 x 29 x 17;Damas s.n.;;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
456;RS;['15.059'];['15.059'];15.057+15.058+15.059;;frgs.;;;;;;;Tablet;Tablet;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;62 x 58 x 15;Damas s.n.;;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,05 (suite de 72-73);82;72/3;1,05;;
457;RS;['15.062'];['15.062'];15.062;4.158;4.158;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;56 x 74 x 23;DO 3939;D 3939;Palais Royal, room 53 (Archives Est), p.t. 82 ? 1,10 (suite de 72-73);82;82;1,1;1.10;
458;RS;['15.063'];['15.063'];15.063;;P3,20;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;Le;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;51 x 66 x 29;Tartous 509;Tart.509;Palais Royal, room 53 (Archives Est), p.t. 87 ? 1,40, (3e lot);87;87;;1.40;
459;RS;['15.064'];['15.064'];15.064;4.159;4.159;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;66 x 46 x 18;DO 3940;D 3940;Palais Royal, room 53 (Archives Est), p.t. 87 ? 1,40, (3e lot);87;87;;;
460;RS;['15.065'];['15.065'];15.065;4.160;4.160;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;PROBABLY FALSE;administrative;not-temple administration;;82 x 58 x 38;DO 3941;D 3941;Palais Royal, room 53 (Archives Est), p.t. 87 ? 1,40, (3e lot);87;87;;;
461;RS;['15.066'];['15.066'];15.066;3.14;4.161;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;31 x 27 x 20;DO 3942;D 3942;Palais Royal, room 53 (Archives Est), p.t. 87 ? 1,40, (3e lot);87;87;;;
462;RS;['15.070'];['15.070'];15.070;;P3,130;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;J;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Central archive;30;;PRAVDA;Legal;mrzh;;73 x 60 x 27;DO 3944;D 3944;Palais Royal, room 30 (Archives Est), p.t. 195 ? 2,80;195;195;2,8;2.80;
463;RS;['15.071'];['15.071'];15.071;5.8;5.8;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;Sch;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;;45;;;;;;75 x 110 x 27;DO 3945;D 3945;Palais Royal, room 45 (Archives Est), p.t. 140 ? 2,60;140;140;2,6;2.60;
464;RS;['15.072'];['15.072'];15.072;1.80;1.80;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;Rel;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;;41;scribal exercise?/list (sacrifices)/votive text;;;;;87 x 64 x 33;DO 3946;D 3946;Palais Royal, room 41 (Archives Est), p.t. 7 ? 0,82 (isolé);7;7;0,82;0.80;
465;RS;['15.073'];['15.073'];15.073;4.163;4.163;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;51 x 63 x 20;DO 3947;D 3947;Palais Royal, room 53 (Archives Est), p.t. 56 ? 0,45;56;56;0,45;0.45;
466;RS;['15.074'];['15.074'];15.074;;P3,197;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;E;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;75 x 56 x 19;DO 3948;D 3948;Palais Royal, rooms 52, 53 (Archives Est), p.t. 61 ? 0,60;61;61;0,6;0.60;
467;RS;['15.075'];['15.075'];15.075;4.164;4.164;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;33 x 50 x 18;DO 3949;D 3949;Palais Royal, room 53 (Archives Est), p.t. 63 ? 0,85;63;63;0,85;0.85;
468;RS;['15.076'];['15.076'];15.076;4.165;4.165;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;54;;;;;;80 x 65 x 23;DO 3950;D 3950;Palais Royal, room 54 (Archives Est), p.t. 75 ? 0,30;75;75;0,3;0.30;
469;RS;['15.077'];['15.077'];15.077;;P3,6;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;LeI;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;52;;;;;;50 x 71 x 23;Tartous 510;Tart.510;Palais Royal, room 52 (Archives Est), p.t. 84 ? 2,50;84;84;2,5;2.50;
470;RS;['15.078'];['15.078'];15.078;4.166;4.166;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;;;36;;;;;;44 x 54 x 22;DO 3951;D 3951;Palais Royal, room 36, p.t. 90 ? 1,40;90;90;1,4;1.40;
471;RS;['15.079'];['15.079'];15.079;4.167;4.167;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;48 x 64 x 19;DO 3952;D 3952;Palais Royal, room 53 (Archives Est), p.t. 91 ? 1,80;91;91;1,8;1.80;
472;RS;['15.080'];['15.080'];15.080;6.19;6.19;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;tag;Label;Label, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;52/53;;;;;;21 x 25 15;DO 3953;D 3953;Palais Royal, entre rooms 52, 53 (Archives Est), p.t. 123 ? 2,55;123;123;2,55;2.55;
473;RS;['15.081'];['15.081'];15.081;;P3,37;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;J;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;44 x 61 x 22;DO 3954;D 3954;Palais Royal, room 53 (Archives Est), p.t. 124 ? 2,10;124;124;2,1;2.10;
474;RS;['15.082'];['15.082'];15.082;4.168;4.168;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;record/religious administration;PRAVDA;administrative;temple administration(?), GP findspot;;50 x 67 x 20;DO 3955;D 3955;Palais Royal, room 53 (Archives Est), p.t. 124 ? 2,10;124;124;2,1;;
475;RS;['15.083'];['15.083'];15.083;4.169;4.169;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Eastern archive;Eastern archive;53;;;;;;51 x 71 x 23;DO 3956;D 3956;Palais Royal, room 53 (Archives Est), p.t. 124 ? 2,10;124;124;2,1;;
476;RS;['15.084'];['15.084'];15.084;4.170;4.170;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;Central archive;Central archive;32;;;;;;50 x 63 x 25;DO 3957;D 3957;Palais Royal, room 32 (Archives Centrales), p.t. 125 ? 2,80;125;125;2,8;2.80;
477;RS;['15.085'];['15.085'];15.085;;P3,52;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;J;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Central archive;Central archive;30;;UNCERTAIN;Legal;ref. to burial sites? may be, not certain, plus issue of burial and religion;;64 x 57 x 22;DO 3958;D 3958;Palais Royal, room 30 (Archives Centrales), p.t. 157 pr?s surface;157;157;;surf;
478;RS;['15.086'];['15.086'];15.086;;P3,51;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;J;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Central archive;Central archive;VI;;UNCERTAIN;Legal;ref. to burial sites? may be, not certain, plus issue of burial and religion;;71 x 58 x 28;DO 3959;D 3959;Palais Royal, cour VI (Archives Centrales), p.t. 174 ? 1,0;174;174;1;1.00;
479;RS;['15.087'];['15.087'];15.087;4.171;4.171;Alphabetic;Ugaritic;Alphabetic;Ugaritic;a-ug;E;Tablet;Tablet, Alphabetic Ugaritic;Royal Palace;Royal Palace;;Eastern archive;53;;FALSE;administrative;no religious contentconext;;55 x 73 x 24;DO 3960;D 3960;Palais R., entre rooms 52 et 53 (Archives Est), p.t. 83 ? 1,60 (sous lot 2);83;83;1,6;1.60;
480;RS;['15.088'];['15.088'];15.088;;P3,88;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;J;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Central archive;Central archive;21;;PRAVDA;Legal;mrzh;;55 x 47 x 19;DO 3961;D 3961;Palais Royal, room 21 (Archives Centrales), p.t. 182 ? 2,20;182;182;2,2;2.20;
481;RS;['15.089'];['15.089'];15.089;;P3,53;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;J;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Central archive;Central archive;VI;;;;;;56 x 49 x 23;DO 3962;D 3962;Palais Royal, cour VI (Archives Centrales), p.t. 174 ? 1,0;174;174;1;1.00;
482;RS;['15.090'];['15.090'];15.090;;P3,54;Logosyllabic;Akkadian;Logosyllabic;Akkadian;s-ak;J;Tablet;Tablet, Logosyllabic Akkadian;Royal Palace;Royal Palace;Central archive;Central archive;21;;;;;;54 x 51 x 24;DO 3963;D 3963;Palais Royal, room 21 (Archives Centrales), p.t. 189 ? 1,25;189;189;1,25;1.25;
