;Excavation Siglum;Excavation Numbers;Clemens 2001;Clemens 2001 type;Clemens note;Description;Genre;Object Type;Museum Number;Archive/General area;detail in general;Full TEO Findspot;Topographic Point;Find Depth;Associated Text;Script;Language;Size;KTU3;possible relevant (religious) genres;seal;note;Associated SAU Entry
176;RS;['20.171,16'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 8, p.t. 1883 ? 1,0;1883;1;RS 20.171,16;Logosyllabic;Akkadian;15 x 21 x 13;;;;;20.171,[8]+20.171,[9]+20.171,[10]+20.171,[11]+20.171,[12]+20.171,[13]+20.171,[14]+20.171,[15]+20.171,[16]+20.171,[17]+20.171,[18]+20.171,[19]+20.171,[20]+20.171,[21]+20.171,[22]+20.171,[23]+20.171,[24]+20.171,[25]+20.171,[26]+20.171,[27]
177;RS;['20.171,17'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 8, p.t. 1883 ? 1,0;1883;1;RS 20.171,17;Logosyllabic;Akkadian;20 x 18 x 13;;;;;20.171,[8]+20.171,[9]+20.171,[10]+20.171,[11]+20.171,[12]+20.171,[13]+20.171,[14]+20.171,[15]+20.171,[16]+20.171,[17]+20.171,[18]+20.171,[19]+20.171,[20]+20.171,[21]+20.171,[22]+20.171,[23]+20.171,[24]+20.171,[25]+20.171,[26]+20.171,[27]
178;RS;['24.296B'];;;;Tablet, Alphabetic Ugaritic;;Tablet;DO 6628;House of the Hurrian Priest;;Sud Acropole, Cella aux Tablettes, p.t. 3759 ? 0,95;3759;0,95;RS 24.296B;Alphabetic;Ugaritic;40 x 55 x 25;1.137;ritual?;;;24.296A(+)24.296B
179;RS;['24.296A'];;;;Tablet, Alphabetic Ugaritic;;Tablet;DO 6627;House of the Hurrian Priest;;Sud Acropole, Cella aux Tablettes, p.t. 3759 ? 0,95;3759;0,95;RS 24.296A;Alphabetic;Ugaritic;55 x 65 x 27;1.136;ritual?/list (sacrifices)?;;;24.296A(+)24.296B
180;RS;['24.644[A]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;House of the Hurrian Priest;;Sud Acropole, Cella aux Tablettes, p.t. 3777, ? 1,20;3777;1,2;RS 24.644 [A];Alphabetic;Ugaritic;9 x 11 x 6;1.150;;;;24.644(+)24.644[A]
181;RS;['24.644'];;;;Tablet, Alphabetic Hurrian;;Tablet;DO 6661;House of the Hurrian Priest;;Sud Acropole, Cella aux Tablettes, p.t. 3777, ? 1,20;3777;1,2;RS 24.644;Alphabetic;Hurrian;110 x 95 x 26;1.149;religious;;;24.644(+)24.644[A]
182;RS;['24.650J'];;;;Tablet;;Tablet;;;;;;;RS 24.650J;;;;;;;;24.650L=24.650J
183;RS;['24.650L'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;House of the Hurrian Priest;;Sud Acropole, Cella aux Tablettes, p.t. 3777;3777;;RS 24.650L;Alphabetic;Ugaritic;12 x 18 x 6;7.157;;;;24.650L=24.650J
184;RS;['24.652I', '24.652C', '24.651A'];SET TO FALSE;administrative;not religious, see McGeough 2011;Tablet, Alphabetic Ugaritic;;Tablet;DO 6672;House of the Hurrian Priest;;Sud Acropole, Cella aux Tablettes, p.t. 3771;;;RS 24.651A+;Alphabetic;Ugaritic;47 x 72 x 26;4.734;religious?;;;24.652C+24.651A+24.652K+24.652I+24.652G+24.651G
185;RS;['24.652K', '24.652G'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;House of the Hurrian Priest;;Sud Acropole, Cella aux Tablettes, p.t. 3771;3771;;RS 24.652G+;Alphabetic;Ugaritic;52 x 32 x 22;1.154;uncertain;;;24.652C+24.651A+24.652K+24.652I+24.652G+24.651G
186;RS;['28.054[N]'];;;;Tablet, Logosyllabic Akkadian;?;Tablet;Damas s.n.;House of the Hurrian Priest;;Sud Acropole, Cella aux Tablettes, p.t. 3759;;;RS 28.054 [N];Logosyllabic;Akkadian;(?);;;;;28.054[N]+28.054[O]+28.054[P]+28.054[Q]
187;RS;['28.054[O]'];;;;Tablet, Logosyllabic Akkadian;?;Tablet;Damas s.n.;House of the Hurrian Priest;;Sud Acropole, Cella aux Tablettes, p.t. 3759;;;RS 28.054 [O];Logosyllabic;Akkadian;(?);;;;;28.054[N]+28.054[O]+28.054[P]+28.054[Q]
188;RS;['28.054[P]'];;;;Tablet, Logosyllabic Akkadian;?;Tablet;Damas s.n.;House of the Hurrian Priest;;Sud Acropole, Cella aux Tablettes, p.t. 3759;;;RS 28.054 [P];Logosyllabic;Akkadian;(?);;;;;28.054[N]+28.054[O]+28.054[P]+28.054[Q]
189;RS;['28.054[Q]'];;;;Tablet, Logosyllabic Akkadian;?;Tablet;Damas s.n.;House of the Hurrian Priest;;Sud Acropole, Cella aux Tablettes, p.t. 3759;;;RS 28.054 [Q];Logosyllabic;Akkadian;(?);;;;;28.054[N]+28.054[O]+28.054[P]+28.054[Q]
190;RS;['18.[564A]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Between Royal Palace and South Palace;;Entre Palais Royal et Palais Sud, p.t. 1336 ? 2,50;1336;2,5;RS 18.[564A];Alphabetic;Ugaritic;16 x 20 x 8;9.293;;;;18.564[A]+18.564[B]
191;RS;['18.[564B]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Between Royal Palace and South Palace;;Entre Palais Royal et Palais Sud, p.t. 1336 ? 2,50;1336;2,5;RS 18.[564B];Alphabetic;Ugaritic;9 x 13 x 5;9.294;;;;18.564[A]+18.564[B]
192;RS;['18.[565]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[565];Alphabetic;Ugaritic;36 x 53 x 26;2.91;;;;18.565+18.566+18.567+18.567+18.568+18.569
193;RS;['18.[566]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[566];Alphabetic;Ugaritic;39 x 38 x 12;9.296;;;;18.565+18.566+18.567+18.567+18.568+18.569
194;RS;['18.[567]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[482]+;Alphabetic;Ugaritic;28 x 34 x 23;9.297;;;;18.565+18.566+18.567+18.567+18.568+18.569
195;RS;['18.[568]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[568];Alphabetic;Ugaritic;20 x 22 x 12;9.298;;;;18.565+18.566+18.567+18.567+18.568+18.569
196;RS;['18.[569]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[482]+;Alphabetic;Ugaritic;17 x 10 x 19;9.299;;;;18.565+18.566+18.567+18.567+18.568+18.569
197;RS;['19.035[F]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Between Royal Palace and South Palace;;Entre Palais Royal et Palais Sud, p.t. 1659 ? 2,30;1659;2,3;RS 19.035 [F];Logosyllabic;Akkadian;7 x 23 x 18;;;;;19.035[F]+19.035[G]+19.035[H]+19.035[I]+19.035[J]
198;RS;['19.035[G]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Between Royal Palace and South Palace;;Entre Palais Royal et Palais Sud, p.t. 1659 ? 2,30;1659;2,3;RS 19.035 [G];Logosyllabic;Akkadian;17 x 11 x 6;;;;;19.035[F]+19.035[G]+19.035[H]+19.035[I]+19.035[J]
199;RS;['19.035[H]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Between Royal Palace and South Palace;;Entre Palais Royal et Palais Sud, p.t. 1659 ? 2,30;1659;2,3;RS 19.035 [H];Logosyllabic;Akkadian;18 x 8 x 8;;;;;19.035[F]+19.035[G]+19.035[H]+19.035[I]+19.035[J]
200;RS;['19.035[I]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Between Royal Palace and South Palace;;Entre Palais Royal et Palais Sud, p.t. 1659 ? 2,30;1659;2,3;RS 19.035 [I];Logosyllabic;Akkadian;12 x10 x 6;;;;;19.035[F]+19.035[G]+19.035[H]+19.035[I]+19.035[J]
201;RS;['19.035[J]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Between Royal Palace and South Palace;;Entre Palais Royal et Palais Sud, p.t. 1659 ? 2,30;1659;2,3;RS 19.035 [J];Logosyllabic;Akkadian;7 x 17 x 3;;;;;19.035[F]+19.035[G]+19.035[H]+19.035[I]+19.035[J]
202;RS;['29.103'];;;;Tablet, Logosyllabic Akkadian;;Tablet;M5458 = A6177;Residential District;;Quartier Résidentiel, Tr. 314 S, p.t. 4718 ? 1,40;4718;1,4;RS 29.103;Logosyllabic;Akkadian;105 x 105 x 31;;;;;17.041+29.103
203;RS;['17.041'];PRAVDA;Lexical;scribe as servant of Nabu and Damkina;Tablet, Logosyllabic Akkadian;silbenvokabular A;Tablet;DO 4537;Residential District;;Quartier Résidentiel, pr?s Maison de Rashapabu, p.t. 672 ? 1,00;672;1;RS 17.041;Logosyllabic;Akkadian;112 x 74 x 24;;;;;17.041+29.103
204;RS;['22.436A'];;;;Tablet, Logosyllabic Akkadian;;Tablet;DO 5859;South City;;Ville Sud, déblais;;;RS 22.436A;Logosyllabic;Akkadian;70 x 65 x 38;;;;;23.485A+22.436A
205;RS;['23.485A'];;;;Tablet, Logosyllabic Akkadian;;Tablet;DO 6124;South City;;Ville Sud, p.t. 3313 ? 1,65;3313;1,65;RS 23.485A;Logosyllabic;Akkadian;40 x 80 x 26;;;;;23.485A+22.436A
206;RS;['22.217A'];PRAVDA;Lexical;colophon refers to numerou deities;Tablet, Logosyllabic Akkadian;;Tablet;DO 5789;House of the Literary Tablets;;"Ville Sud, M. aux Textes Littéraires, p.t. 2647 ? 0,90; 2633 ? 0,70";2647;;RS 22.217A;Logosyllabic;Sumerian;150 x 84 x 42;;;;;22.217A(+)22.217B
207;RS;['22.217B'];PRAVDA;Lexical;colophon refers to numerou deities;Tablet, Logosyllabic Akkadian;;Tablet;DO 5787;House of the Literary Tablets;;"Ville Sud, M. aux Textes Littéraires, p.t. 2647 ? 0,90; 2633 ? 0,70";2647;;RS 22.217B;Logosyllabic;Sumerian;102 x 81 x 36;;;;;22.217A(+)22.217B
208;RS;['22.439[A]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;House of the Literary Tablets;;"Ville Sud, Maison aux Textes Littéraires, p.t. 2694; 2687";;;RS 22.439 [A];Alphabetic;Ugaritic;11 x 17 x 6;9.409;;;;22.439[A]+22.439[B]
209;RS;['22.439[B]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;House of the Literary Tablets;;"Ville Sud, Maison aux Textes Littéraires, p.t. 2694; 2687";;;RS 22.439 [B];Logosyllabic;Akkadian;10 x 17 x 3;;;;;22.439[A]+22.439[B]
210;RS;['17.409[A]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [A];Alphabetic;Ugaritic;29 x 27 x 23;9.164;;;;17.409[A]+17.409[B]+17.409[C]+17.409[D]+17.409[E]+17.409[F]+17.409[G]+17.409[H]+17.409[I]+17.409[J]
211;RS;['17.409[B]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [B];Alphabetic;Ugaritic;30 x 26 x 18;9.165;;;;17.409[A]+17.409[B]+17.409[C]+17.409[D]+17.409[E]+17.409[F]+17.409[G]+17.409[H]+17.409[I]+17.409[J]
212;RS;['17.409[C]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [C];Alphabetic;Ugaritic;28 x 29 x 16;9.166;;;;17.409[A]+17.409[B]+17.409[C]+17.409[D]+17.409[E]+17.409[F]+17.409[G]+17.409[H]+17.409[I]+17.409[J]
213;RS;['17.409[D]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [D];Alphabetic;Ugaritic;24 x 16 x 23;9.167;;;;17.409[A]+17.409[B]+17.409[C]+17.409[D]+17.409[E]+17.409[F]+17.409[G]+17.409[H]+17.409[I]+17.409[J]
214;RS;['17.409[E]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [E];Alphabetic;Ugaritic;29 x 27 x 23;9.168;;;;17.409[A]+17.409[B]+17.409[C]+17.409[D]+17.409[E]+17.409[F]+17.409[G]+17.409[H]+17.409[I]+17.409[J]
215;RS;['17.409[F]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [F];Alphabetic;Ugaritic;14 x 28 x 8;9.169;;;;17.409[A]+17.409[B]+17.409[C]+17.409[D]+17.409[E]+17.409[F]+17.409[G]+17.409[H]+17.409[I]+17.409[J]
216;RS;['17.409[G]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [G];Alphabetic;Ugaritic;18 x 12 x 19;9.170;;;;17.409[A]+17.409[B]+17.409[C]+17.409[D]+17.409[E]+17.409[F]+17.409[G]+17.409[H]+17.409[I]+17.409[J]
217;RS;['17.409[H]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [H];Alphabetic;Ugaritic;18 x 19 x 21;9.171;;;;17.409[A]+17.409[B]+17.409[C]+17.409[D]+17.409[E]+17.409[F]+17.409[G]+17.409[H]+17.409[I]+17.409[J]
218;RS;['17.409[I]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [I];Alphabetic;Ugaritic;15 x 16 x 19;9.172;;;;17.409[A]+17.409[B]+17.409[C]+17.409[D]+17.409[E]+17.409[F]+17.409[G]+17.409[H]+17.409[I]+17.409[J]
219;RS;['17.409[J]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Literate’s House;;Quartier Résidentiel, Maison du Lettré, p.t. 934 ? 1,70;934;1,7;RS 17.409 [J];Alphabetic;Ugaritic;13 x 14 x 8;9.173;;;;17.409[A]+17.409[B]+17.409[C]+17.409[D]+17.409[E]+17.409[F]+17.409[G]+17.409[H]+17.409[I]+17.409[J]
220;RS;['17.300[A]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1234 ? 2,95;1234;2,95;RS 17.300 [A];Logosyllabic;Akkadian;10 x 23 x 5;;;;;17.300[A]+17.300[B]+17.300[C]+17.300[D]+17.300[E]+17.300[F]+17.300[G]+17.300[H]+17.300[I]+17.300[J]
221;RS;['17.300[B]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1234 ? 2,95;1234;2,95;RS 17.300 [B];Logosyllabic;Akkadian;23 x 16 x 6;;;;;17.300[A]+17.300[B]+17.300[C]+17.300[D]+17.300[E]+17.300[F]+17.300[G]+17.300[H]+17.300[I]+17.300[J]
222;RS;['17.300[C]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1234 ? 2,95;1234;2,95;RS 17.300 [C];Logosyllabic;Akkadian;20 x 18 x 15;;;;;17.300[A]+17.300[B]+17.300[C]+17.300[D]+17.300[E]+17.300[F]+17.300[G]+17.300[H]+17.300[I]+17.300[J]
223;RS;['17.300[D]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1234 ? 2,95;1234;2,95;RS 17.300 [D];Logosyllabic;Akkadian;26 x 32 x 20;;;;;17.300[A]+17.300[B]+17.300[C]+17.300[D]+17.300[E]+17.300[F]+17.300[G]+17.300[H]+17.300[I]+17.300[J]
224;RS;['17.300[E]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1234 ? 2,95;1234;2,95;RS 17.300 [E];Logosyllabic;Akkadian;22 x 24 x 14;;;;;17.300[A]+17.300[B]+17.300[C]+17.300[D]+17.300[E]+17.300[F]+17.300[G]+17.300[H]+17.300[I]+17.300[J]
225;RS;['17.300[F]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1234 ? 2,95;1234;2,95;RS 17.300 [F];Logosyllabic;Akkadian;25 x 17 x 20;;;;;17.300[A]+17.300[B]+17.300[C]+17.300[D]+17.300[E]+17.300[F]+17.300[G]+17.300[H]+17.300[I]+17.300[J]
226;RS;['17.300[G]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1234 ? 2,95;1234;2,95;RS 17.300 [G];Logosyllabic;Akkadian;14 x 12 x 7;;;;;17.300[A]+17.300[B]+17.300[C]+17.300[D]+17.300[E]+17.300[F]+17.300[G]+17.300[H]+17.300[I]+17.300[J]
227;RS;['17.300[H]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1234 ? 2,95;1234;2,95;RS 17.300 [H];Logosyllabic;Akkadian;23 x 28 x 9;;;;;17.300[A]+17.300[B]+17.300[C]+17.300[D]+17.300[E]+17.300[F]+17.300[G]+17.300[H]+17.300[I]+17.300[J]
228;RS;['17.300[I]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1234 ? 2,95;1234;2,95;RS 17.300 [I];Logosyllabic;Akkadian;27 x 21 x 16;;;;;17.300[A]+17.300[B]+17.300[C]+17.300[D]+17.300[E]+17.300[F]+17.300[G]+17.300[H]+17.300[I]+17.300[J]
229;RS;['17.300[J]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1234 ? 2,95;1234;2,95;RS 17.300 [J];Alphabetic;Ugaritic;10 x 19 x 5;9.157;;;;17.300[A]+17.300[B]+17.300[C]+17.300[D]+17.300[E]+17.300[F]+17.300[G]+17.300[H]+17.300[I]+17.300[J]
230;RS;['17.378[C]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1219 ? 3,40;1219;3,4;RS 17.378 [C];Alphabetic;Ugaritic;54 x 33 x 11;9.162;;;;17.378[C]+17.378[D]
231;RS;['17.378[D]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1219 ? 3,40;1219;3,4;RS 17.378 [D];Alphabetic;Ugaritic;34 x 9 x 10;9.163;;;;17.378[C]+17.378[D]
232;RS;['17.[474][D]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1210 ? 1,60;1210;1,6;RS 17.[474] [D];Alphabetic;Ugaritic;7 x 15 x 16;9.181;;;;17.[474A]+17.[474B]+17.[474C]+17.[474D]
233;RS;['17.[474][A]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1210 ? 1,60;1210;1,6;RS 17.[474] [A];Alphabetic;Ugaritic;29 x 19 x 13;9.178;;;;17.[474A]+17.[474B]+17.[474C]+17.[474D]
234;RS;['17.[474][B]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1210 ? 1,60;1210;1,6;RS 17.[474] [B];Alphabetic;Ugaritic;25 x 19 x 7;9.179;;;;17.[474A]+17.[474B]+17.[474C]+17.[474D]
235;RS;['17.[474][C]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1210 ? 1,60;1210;1,6;RS 17.[474] [C];Alphabetic;Ugaritic;11 x 17 x 10;9.180;;;;17.[474A]+17.[474B]+17.[474C]+17.[474D]
236;RS;['18.009[D]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1246 ? 3,30;1246;3,3;RS 18.009 [D];Alphabetic;Ugaritic;12 x 23 x 3;9.200;;;;18.009[D]+18.009[E]+18.009[F]+18.009[G]+18.009[H]+18.009[I]+18.009[J]+18.009[K]
237;RS;['18.009[E]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1246 ? 3,30;1246;3,3;RS 18.009 [E];Alphabetic;Ugaritic;19 x 14 x 8;9.201;;;;18.009[D]+18.009[E]+18.009[F]+18.009[G]+18.009[H]+18.009[I]+18.009[J]+18.009[K]
238;RS;['18.009[F]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1246 ? 3,30;1246;3,3;RS 18.009 [F];Alphabetic;Ugaritic;32 x 18 x 19;9.202;;;;18.009[D]+18.009[E]+18.009[F]+18.009[G]+18.009[H]+18.009[I]+18.009[J]+18.009[K]
239;RS;['18.009[G]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1246 ? 3,30;1246;3,3;RS 18.009 [G];Alphabetic;Ugaritic;21 x 6 x 8;9.203;;;;18.009[D]+18.009[E]+18.009[F]+18.009[G]+18.009[H]+18.009[I]+18.009[J]+18.009[K]
240;RS;['18.009[H]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1246 ? 3,30;1246;3,3;RS 18.009 [H];Alphabetic;Ugaritic;12 x 13 x 4;9.204;;;;18.009[D]+18.009[E]+18.009[F]+18.009[G]+18.009[H]+18.009[I]+18.009[J]+18.009[K]
241;RS;['18.009[I]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1246 ? 3,30;1246;3,3;RS 18.009 [I];Alphabetic;Ugaritic;41 x 47 x 15;9.205;;;;18.009[D]+18.009[E]+18.009[F]+18.009[G]+18.009[H]+18.009[I]+18.009[J]+18.009[K]
242;RS;['18.009[J]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1246 ? 3,30;1246;3,3;RS 18.009 [J];Alphabetic;Ugaritic;37 x 30 x 12;;;;;18.009[D]+18.009[E]+18.009[F]+18.009[G]+18.009[H]+18.009[I]+18.009[J]+18.009[K]
243;RS;['18.009[K]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1246 ? 3,30;1246;3,3;RS 18.009 [K];Alphabetic;Ugaritic;8 x 23 x 8;;;;;18.009[D]+18.009[E]+18.009[F]+18.009[G]+18.009[H]+18.009[I]+18.009[J]+18.009[K]
244;RS;['18.277[B]'];;;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Between Royal Palace and South Palace;;Entre Palais Royal et Palais Sud, p.t. 1338 ? 2,60;1338;2,6;RS 18.277 [B];Alphabetic;Ugaritic;19 x 15 x 13;9.217;;;;18.277[B]+18.277[C]
245;RS;['18.277[C]'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Between Royal Palace and South Palace;;Entre Palais Royal et Palais Sud, p.t. 1338 ? 2,60;1338;2,6;RS 18.277 [C];Logosyllabic;Akkadian;26 x 8 x 19;;;;;18.277[B]+18.277[C]
246;RS;['17.407'];;;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4733;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1157 ? 1,30;1157;1,3;RS 17.407;Logosyllabic;Akkadian;103 x 99 x 27;;;;;17.351A+17.079+17.338+17.349B+17.407+17.342+17.374
247;RS;['17.338'];PRAVDA;Legal;Hittite king as Sun, divine protection of stipulaitons;Tablet, Logosyllabic Akkadian;;Tablet;DO 4679;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1203 ? 3,0;1203;3;RS 17.338;Logosyllabic;Akkadian;60 x 54 x 22;;;;;17.351A+17.079+17.338+17.349B+17.407+17.342+17.374
248;RS;['17.342'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1157 ? 1,80;1157;1,8;RS 17.342;Logosyllabic;Akkadian;37 x 90 x 31;;;;;17.351A+17.079+17.338+17.349B+17.407+17.342+17.374
249;RS;['17.079', '17.374'];;;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4558;Royal Palace;;Palais Royal, cour V, p.t. 748 ? 0,45;748;0,45;RS 17.079+;Logosyllabic;Akkadian;104 x 103 x 28;;;;;17.351A+17.079+17.338+17.349B+17.407+17.342+17.374
250;RS;['17.349B'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1191 ? 1,80 et 2,55;1191;1,8;RS 17.349B;Logosyllabic;Akkadian;51 x 32 x 23;;;;;17.351A+17.079+17.338+17.349B+17.407+17.342+17.374
251;RS;['17.351A'];;;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1204 ? 3,20;1204;3,2;RS 17.351A;Logosyllabic;Akkadian;48 x 33 x 20;;;;;17.351A+17.079+17.338+17.349B+17.407+17.342+17.374
252;RS;['17.353'];PRAVDA;Legal;"divine protection of stipulations - curse, benediction, witnesses; [Hittite king as Sun]";Tablet, Logosyllabic Akkadian;;Tablet;DO 4689;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1154 ? 1,80;1154;1,8;RS 17.353;Logosyllabic;Akkadian;86 x 84 x 22;;;;;17.004+17.353+17.357+17.450+19.101+21.053
